"Justine Bateman","1966-2-19"," in Rye NY - Family Ties"
"Ludwig Eduard Boltzmann","1844-2-20"," Austrian physicist (statistical mechanics)"
"Bela Kun","1886-2-20"," head of Hungarian Soviet Republic (1919)"
"Enzo Ferrari","1898-2-20"," Car manufacturer"
"Cornelius Vanderbilt Whitney","1899-2-20"," US sportsman"
"Ansel Adams","1902-2-20"," knows how to handle a camera"
"Joseph A. Walker","1921-2-20"," X-15 pilot"
"Gloria Vanderbilt","1924-2-20"," Don't my jeans look great"
"Director Robert Altman","1925-2-20"," M*A*S*H"
"Sidney Poitier","1927-2-20"," Actor (Porgy & Bess & A Raisin in the Sun)"
"Amanda Blake","1931-2-20"," Actress (Miss Kitty on Gunsmoke)"
"Bobby Unser","1934-2-20"," auto racer"
"Nancy Wilson","1937-2-20"," jazz singer in Chillicothe Ohio"
"Buffy Sainte-Marie","1941-2-20"," folk singer in Maine"
"Phil Esposito","1942-2-20"," NHL player"
"Sandy Duncan","1946-2-20"," in Texas"
"Jennifer O'Neill","1949-2-20"," Actress (Summer of '42) in Rio de Janeiro Brazil"
"Patty Hearst","1954-2-20"," in San Francisco -- famous kidnap hostage"
"Antonio L¢pez de Santa Anna","1794-2-21"," president of Mexico (1833-36)"
"Andres Segovia","1893-2-21"," Spanish classical guitarist"
"Pudovkin V. Illarionovich","1893-2-21"," Russian film director (Mother & Deserter)"
"W.H. Auden","1907-2-21"," American poet"
"Ann Sheridan","1915-2-21","Ann Sheridan"
"Sam Peckinpah","1925-2-21"," film director (The Wild Bunch & Straw Dogs)"
"Erma Bombeck","1927-2-21"," in Ohio -- humorist"
"Larry Hagman","1931-2-21"," TV Actor (I Dream of Jeannie & Dallas)"
"Nina Simone","1933-2-21"," singer & pianist in Tyron NC"
"Barbara Jordan","1936-2-21","(D) former rep. Houston Texas"
"Tyne Daily","1947-2-21"," in Madison Wisconsin"
"Charles VII","1403-2-22"," king of France (1422-61) - drove out English"
"George Washington","1732-2-22"," Father figure & President (1789-1796)"
"Johann Nikolaus Forkel","1749-2-22"," musicologist & 1st biographer of Bach"
"Rembrandt Peale","1778-2-22"," U.S. portrait & historical painter"
"Arthur Schopenhauer","1788-2-22"," (the Great Pessimist) German philosopher"
"Frederic Chopin","1810-2-22"," composer"
"James Russell Lowell","1819-2-22"," poet & critic & diplomat & abolitionist"
"Heinrich Hertz","1857-2-22"," physicist & 1st to broadcast & receive radio waves"
"Lord Robert Baden-Powell","1857-2-22"," founder of Boy Scouts & Girl Guides"
"Jules Renard","1864-2-22"," French writer"
"Pauline Musters","1876-2-22"," became shortest adult known (58.9 cm 1' 11.2")"
"David Dubinsky","1892-2-22"," labor leader"
"Edna St. Vincent Millay","1892-2-22"," poet & dramatist"
"Giorgios Seferis","1900-2-22"," Greek poet (Nobel 1963)"
"Luis Bu¤uel","1900-2-22"," Spanish film director (Exterminating Angel & Viridiana)"
"Robert Young","1907-2-22"," Actor (Father Knows Best & Marcus Welby)"
"Sheldon Leonard","1907-2-22"," Actor & producer"
"John Mills","1908-2-22"," English Actor"
"R¢mulo Betancourt","1908-2-22"," president of Venezuela (1945-48 & 1958-64)"
"Charles O. Finley","1918-2-22"," baseball team owner (Oakland A's)"
"Robert Wadlow","1918-2-22"," became tallest known human (2.72 m 8' 11.1")"
"Edward M. Kennedy","1932-2-22","(D) senator from Mass"
"Sparky Anderson","1934-2-22"," Cincinnati Reds manager"
"Julius (Dr. J) Erving","1950-2-22"," NBA player"
"Samuel Pepys","1633-2-23"," diarist"
"George Friderick Handel","1685-2-23"," Baroque composer in Germany"
"Mayer Amschel Rothschild","1744-2-23"," founder of House of Rothschild"
"W.E.B. DuBois","1868-2-23"," civil rights leader & writer"
"William L. Shirer","1904-2-23"," historian (Rise & Fall of the Third Reich)"
"Vasili G. Lazarev","1928-2-23"," Soviet cosmonaut (Soyuz 12 & 18-1)"
"Elston Howard","1929-2-23"," Yankee catcher"
"Peter Fonda","1940-2-23"," Actor"
"Fred Biletnikoff","1943-2-23"," NFL wide receiver (Oakland Raiders)"
"Johnny Winter","1944-2-23"," guitarist"
"Muhammad ibn Battutah","1304-2-24"," Arab traveler & travel writer"
"Giovanni Pico della Mirandola","1463-2-24"," Italian scholar & Platonist"
"Emperor Charles V","1500-2-24"," king of Spain (1516-56)"
"Wilhelm Karl Grimm","1786-2-24"," story teller"
"Winslow Homer","1836-2-24"," painter"
"Honus Wagner","1874-2-24"," HOF shortstop for Pittsburgh Pirates (1900-17)"
"Admiral Chester Nimitz","1885-2-24"," in charge of Pacific Fleet in WWII"
"Marjorie Main","1890-2-24","Marjorie Main"
"Abe Vigoda","1921-2-24"," Actor (Fish on Barney Miller)"
"Barbara Lawrence","1930-2-24","Barbara Lawrence"
"Bettino Craxi","1934-2-24"," Italy's 1st Socialist premier"
"James Farentino","1938-2-24"," Actor"
"Sheila Larkin","1944-2-24"," in NYC"
"Steven Jobs","1955-2-24"," Apple co-founder"
"Phil McConkey","1957-2-24"," NY Giant wide receiver"
"Carlo Goldoni","1707-2-25"," Italian dramatist (The Love of the Three Oranges)"
"Jose de San Martin","1778-2-25"," liberator of Argentina & Chile & Peru"
"Pierre Auguste Renoir","1841-2-25"," French Impressionist painter"
"Enrico Caruso","1873-2-25"," operatic tenor in Italy"
"Charles Lang Freer","1876-2-25"," art collector who endowed Freer Gallery"
"John Foster Dulles","1888-2-25"," Secretary of State for President Eisenhower"
"Bert Bell","1895-2-25"," commissioner of NFL & team owner"
"John J. McClellan","1896-2-25"," former U.S. senator from Arkansas"
"Adelle Davis","1904-2-25"," nutritionist & author (Let's Eat Right to Keep Fit)"
"Frank Slaughter","1908-2-25"," author"
"Millicebt Fenwick","1910-2-25"," ex-congresswoman"
"Jim Backus","1913-2-25"," Actor (voice of Mr. Magoo)"
"Anthony Burgess","1917-2-25"," essayist & short story writer (A Clockwork Orange)"
"Linda Cristal","1936-2-25"," in Buenos Aires Argentina"
"Diane Baker","1938-2-25"," in Hollywood Calif"
"George Harrison","1943-2-25"," Beatle"
"Shivadhar Srinivasa Naipaul","1945-2-25"," Trinidad novelist & essayist"
"Christopher Marlowe","1564-2-26"," dramatist (Dr. Faustus) (baptized)"
"Victor Hugo","1802-2-26"," author (Hunchback of Notre Dame) in France"
"Honore Daumier","1808-2-26"," French painter & lithographer & caricaturist"
"Camille Flammarion","1842-2-26"," Mars researcher & popularizer of astronomy"
"William "Buffalo Bill" Cody","1846-2-26"," near Davenport Iowa -- frontiersman"
"John Harvey Kellogg","1852-2-26"," physician -- inspired flaked cereal industry"
"Herbert Henry Dow","1866-2-26"," pioneer in US chemical industry"
"Grover Cleveland Alexander","1887-2-26"," HOF baseball pitcher (Phillies & Cubs)"
"Robert Alda","1914-2-26"," Actor (Bittersweet Love & House of Excorcism)"
"Jackie Gleason","1916-2-26"," Actor (Honeymooners & Smokey & the Bandit)"
"Robert Taft Jr.","1917-2-26"," former senator from Ohio"
"Mason Adams","1919-2-26"," Actor"
"Tony Randall","1920-2-26"," Actor (The Odd Couple)"
"Betty Hutton","1921-2-26","Betty Hutton"
"Noboru Takeshita","1924-2-26"," )"
"Konstantin Feoktistov","1926-2-26"," Soviet cosmonaut (Voskhod 1)"
"Anatoli V. Filipchenko","1928-2-26"," Soviet cosmonaut (Soyuz 7 & 16)"
"Fats Domino","1928-2-26"," singer"
"Robert Novak","1931-2-26","Robert Novak"
"Johnny Cash","1932-2-26"," Country singer the Man in Black"
"Priscilla Lopez","1948-2-26"," in NY"
"Constantine the Great","289-2-27"," Roman emperor (312-37) -- adopted Christianity"
"Constantine","1583-2-27","Constantine"
"Henry Wadsworth Longfellow","1807-2-27"," American poet in Portland Maine"
"Sveinn Bjornsson","1881-2-27"," 1st president of Republic of Iceland (1944-52)"
"William Demarest","1892-2-27"," Actor (Uncle Charlie on My Three Sons)"
"John Steinbeck","1902-2-27"," U.S. author (The Grapes of Wrath) (Nobel 1962)"
"James T. Farrell","1904-2-27"," American author (Studs Lonigan trilogy)"
"Joan Bennett","1910-2-27"," Actress - NJ"
"Peter De Vries","1910-2-27"," author"
"Irwin Shaw","1913-2-27"," U.S. novelist (Rich Man - Poor Man)"
"John Connally","1917-2-27"," Texas Governor"
"Guy Mitchell","1927-2-27"," Actor"
"Joanne Woodward","1930-2-27"," Actress (Long Hot Summer) in Thomasville Ga"
"Elizabeth Taylor","1932-2-27"," Actress (Cleopatra) in London - violet eyes"
"Raymond Berry","1933-2-27"," NFL end (Baltimore Colts)"
"Sen Malcolm","1933-2-27"," Wallop R-Wyo"
"Ralph Nader","1934-2-27"," ex-Corvair fan & Consumer advocate"
"Jay Silvester","1937-2-27"," discus thrower"
"Barbara Babcock","1939-2-27","Barbara Babcock"
"Howard Hesseman","1940-2-27"," WKRP's Johnny Fever"
"Mary Frann","1943-2-27","Mary Frann"
"Michel de Montaigne","1533-2-28"," French essayist & philosopher"
"Rene-Antoine de Reaumur","1683-2-28"," French biologist & engineer."
"John Tenniel","1820-2-28"," English cartoonist & illustrator (Alice in Wonderland)"
"Charles Blondin","1824-2-28"," French acrobat & aerialist."
"Vyacheslav Ivanov","1866-2-28"," Russian Symbolist poet (Pilot Stars)"
"Ben Hecht","1894-2-28"," novelist & playwright & screenwriter (The Front Page)"
"Linus Pauling","1901-2-28"," chemist & peace worker (Nobel 1954 & 1962)"
"Stephen Spender","1909-2-28"," English poet"
"Vincente Minnelli","1913-2-28"," film director"
"Sir Peter Medawar","1915-2-28"," British zoologist & immunologist (Nobel 1953)"
"Zero Mostel","1915-2-28"," Actor (if I were a rich man)"
"John B. Connally","1917-2-28","(D) former governor of Texas"
"Svetlana Stalina","1926-2-28"," daughter of Josef Stalin (or 1906)"
"Betty Ackermann","1928-2-28"," Ben Casey's friend"
"Gavin MacLeod","1930-2-28"," love boat captain"
"Tommy Tune","1939-2-28"," U.S. dancer & choreographer"
"Charles (Bubba) Smith","1945-2-28"," NFL player"
"Mimsy Farmer","1945-2-28"," in Chicago Ill"
"Stephane Beacham","1947-2-28","Stephane Beacham"
"Bernadette Peters","1948-2-28"," in Queens NY - TONY winner"
"Olympian Melissa Babish","1952-2-28"," in SC - Olympian"
"Paul III","1468-2-29"," last of Renaissance popes (1534-49)"
"Gioacchino Rossini","1792-2-29"," Italian composer (Barber of Seville)"
"Herman Hollerith","1860-2-29"," invented 1st electric tabulating machine"
"Jack R. Lousma","1936-2-29"," astronaut (Skylab 3 & ST & 3)"
"Frederic Chopin","1810-3-1"," composer"
"William Dean Howells","1837-3-1"," novelist"
"Augustus Saint-Gaudens","1848-3-1"," designed 1907 $20 gold piece"
"Lytton Strachey","1880-3-1"," critic"
"Ryunosuke Akutagawa","1892-3-1"," writer (Rashomon in Kappa)"
"David Niven","1910-3-1"," Britian (Around the World in 80 Days)"
"Dinah Shore","1917-3-1"," singer"
"Robert Lowell","1917-3-1"," Near the Ocean)"
"Richard Wilbur","1921-3-1"," Walking to Sleep)"
"Terrence 'Cardinal' Cooke","1921-3-1"," NY"
"Donald (Deke) Slayton","1924-3-1"," astronaut"
"Pete Rozelle","1926-3-1"," NFL commissioner"
"Harry Belafonte","1927-3-1"," Actor"
"Joan Hackett","1942-3-1"," NY"
"Lana Wood","1946-3-1"," Santa Monica Cal"
"Catherine Bach","1954-3-1"," oh those legs"
"Ron Howard","1954-3-1"," Happy Days)"
"Sam Houston","1793-3-2"," 1841-44)"
"Leo XIII","1810-3-2"," 256th pope (1878-1903)"
"Bedrich Smetana","1824-3-2"," Moldau)"
"Carl Schurz","1829-3-2"," Civil War gen"
"Pius XII","1876-3-2"," 260th pope (1939-58)"
"Dr. Seuss","1904-3-2"," Author (Horton Hears a Who!)"
"Mel Ott","1909-3-2"," 1st NLer to hit 500 HRs"
"Desi Arnaz","1917-3-2"," Cuba (Ricky Ricardo)"
"Jennifer Jones","1919-3-2"," Okla"
"Mikhail Gorbachev","1931-3-2"," Soviet leader"
"Tom Wolfe","1931-3-2"," journalist (Right Stuff)"
"Karen Carpenter","1950-3-2"," drummer"
"William Godwin","1756-3-3"," political writer (Caleb Williams)"
"George M. Pullman","1831-3-3"," invented sleeping car"
"Georg Cantor","1845-3-3"," discovered transfinite numbers (or 1918)"
"Alexander Graham Bell","1847-3-3"," telephone inventor"
"Shalom Alekhem","1859-3-3"," Russian author"
"Norman Bethune","1890-3-3"," China"
"Gen Matthew Ridgeway","1895-3-3"," milt leader"
"Jean Harlow","1911-3-3"," 30s' Sex Goddess"
"Joe Stydahar","1912-3-3"," Chicago Bears tackle"
"Princess Lee Radziwell","1933-3-3"," NYC"
"Gia Scala","1934-3-3"," Italy"
"Vladimir V. Kovalyonok","1942-3-3"," T-4)"
"Herschel Walker","1962-3-3"," Dal Cowboys running back"
"Prince Henry","1394-3-4"," sponsors Portuguese voyages"
"Antonio Vivaldi","1678-3-4"," late Baroque violin virtuoso"
"Casimir Pulaski","1747-3-4"," Amer Rev War gen"
"Knute Rockne","1888-3-4"," football player/coach"
"George Gamow","1904-3-4"," cosmologist"
"Lili Kr…us","1905-3-4"," Hungarian pianist"
"Joan Greenwood","1921-3-4"," London"
"Patrick Moore","1923-3-4"," English astronomer"
"Alan Sillitoe","1928-3-4"," Br. writer (Loneliness of the Long Distance Runner)"
"Miriam Makeba","1932-3-4"," S African singer"
"Jane Goodall","1934-3-4"," Archeologist"
"Barbara McNair","1939-3-4"," Singer/Actress"
"Paula Prentiss","1939-3-4"," Actress"
"Susan Clark","1944-3-4"," Ontario Canada"
"Louis I (the Great)","1326-3-5"," Poland (1370-82)"
"Gerhardus Mercator","1512-3-5"," geographer & map maker (or 1583)"
"James Merritt Ives","1824-3-5"," lithographer (Currier & Ives)"
"Heitor Villa-Lobos","1887-3-5"," composer"
"Rex Harrison","1908-3-5"," Actor"
"Lorin Maazel","1930-3-5"," conductor"
"Samantha Eggar","1939-3-5"," London"
"Randy Matson","1945-3-5"," shot putter"
"Andy Gibb","1958-3-5"," Australia"
"Michelangelo Buonarroti","1475-3-6"," artist (David)"
"Cyrano de Bergerac","1619-3-6"," famous nose"
"Aaron Burr","1756-3-6"," dualist"
"Joseph von Fraunhofer","1787-3-6"," studied sun's spectrum"
"Anna Claypoole Peale","1791-3-6"," painted miniatures"
"Elizabeth Barrett Browning","1806-3-6"," poet"
"Aaron Lufkin Dennison","1812-3-6"," father of American watchmaking"
"Gen Philip H Sheridan","1831-3-6"," milt leader"
"Jimmy Conzelman","1898-3-6"," team owner"
"Julius Rudel","1921-3-6"," conductor"
"Ed McMahon","1923-3-6"," Star Search)"
"Sarah Caldwell Conductor","1924-3-6"," Maryville Mo"
"William H. Webster","1924-3-6"," headed FBI & CIA"
"Alan Greenspan","1926-3-6"," economist"
"Leroy Gordon Cooper","1927-3-6"," Gemini 5)"
"Gabriel Garc¡a M rquez","1928-3-6"," Colombian novelist (Nobel 1982)"
"Merle Haggard","1937-3-6"," country singer"
"Valentina Tereshkova","1937-3-6"," 1st woman in space (Vostok 6)"
"Joanna Miles","1940-3-6"," Nice France"
"Ben Murphy","1942-3-6","Ben Murphy"
"Kiri Te Kanawa","1944-3-6"," operatic soprano"
"Mary Wilson","1944-3-6","(Supremes)"
"Rob Reiner","1945-3-6"," Actor (All in the Family)"
"Kiki Dee","1947-3-6"," Yorkshire Engl"
"Stephen Hopkins","1707-3-7"," signed Decl of Ind"
"John Herschel","1792-3-7"," Eng"
"Luther Burbank","1849-3-7"," Mass"
"Julius Wagner von Jauregg","1857-3-7"," psychiatrist (Nobel 1927)"
"Piet Mondrian","1872-3-7"," Dutch abstract painter (Broadway Boogie Woogie)"
"Maurice Ravel","1875-3-7"," France"
"Anna Magnani","1909-3-7"," Italy"
"Kobo Abe","1924-3-7"," the Dunes)"
"Anthony Armstrong-Jones","1930-3-7"," photographer"
"Janet Guthrie","1938-3-7"," race car driver"
"Daniel J Travanti","1940-3-7"," Capt Furillo)"
"Viktor P. Savinykh","1940-3-7"," cosmonaut (Soyuz T-4)"
"John Heard","1945-3-7","John Heard"
"Peter Wolf","1946-3-7"," Rock singer"
"Donna Loren","1947-3-7"," Boston Mass"
"Franco Harris","1950-3-7"," NFL fullback (Pitts Steelers)"
"Lynn Swann","1952-3-7"," Football player"
"Ivan Lendl","1960-3-7"," Czech"
"Carl Philipp Emanuel Bach","1714-3-8"," son of J.S. Bach"
"Hannah Hoes Van Buren","1783-3-8"," 1st lady"
"Karl Ferdinand von Grafe","1787-3-8"," helped create plastic surgery"
"Oliver Wendell Holmes","1841-3-8"," Supreme Court Justice"
"Kenneth Grahame","1859-3-8"," Willows)"
"Otto Hahn","1879-3-8"," co-discovered nuclear fission"
"Edward Kendall","1886-3-8"," isolated cortisone (Nobel 1950)"
"Sam Jaffe","1891-3-8"," Dr. Zorba on Ben Casey)"
"Claire Trevor","1909-3-8"," Actress"
"Cyd Charisse","1921-3-8"," Amarillo Tx"
"George Reed","1939-3-8"," astronomy writer & cartoonist"
"Jim Bouton","1939-3-8"," Yankee pitcher (Ball Four)"
"Mike Lowry","1939-3-8"," Rep"
"Lynn Redgrave","1943-3-8"," Actress (Georgie Girl)"
"Carole Bayer Sager","1947-3-8"," NY - Mrs Burt Bachrach"
"Amerigo Vespucci","1454-3-9"," This could be Vespucciland"
"Leland Stanford","1824-3-9"," found Stanford U"
"V.M. Molotov","1890-3-9"," Soviet foreign minister"
"Edward Durell","1902-3-9"," New Delhi)"
"Samuel Barber","1910-3-9"," composer"
"Mickey Spillane","1918-3-9"," the Jury)"
"James Buckley","1923-3-9"," former NY sen"
"Joyce Van Patten","1934-3-9","Joyce Van Patten"
"Yuri Gagarin","1934-3-9"," 1st man into space (aboard Vostok 1)"
"Keely Smith","1935-3-9"," Norfolk Va"
"Bobby Fischer","1943-3-9"," world chess champion (1972-75)"
"Trish Van Devere","1943-3-9"," Actress"
"Emmanuel Lewis","1971-3-9"," TV (Webster)"
"Alexander III","1845-3-10"," Russian tsar (1881-94)"
"Lillian D. Wald","1867-3-10"," sociologist"
"Sergey Diaghilev","1872-3-10"," ballet producer"
"Arthur Honegger","1892-3-10"," composer"
"Pamela Mason","1922-3-10"," London"
"Ron Mix","1938-3-10"," Oakland Raiders)"
"David Rabe","1940-3-10"," playwright"
"Katherine Houghton","1945-3-10","Katherine Houghton"
"Linda Jezek","1960-3-10"," CalIifornia"
"Prince Edward","1964-3-10"," England"
"Torquato Tasso","1544-3-11"," Renaissance poet"
"Robert Treat Paine","1731-3-11"," signed Decl of Ind"
"Urbain Jean Joseph Leverrier","1811-3-11"," co-discovered Neptune"
"Malcolm Campbell","1885-3-11"," 1st auto racer to travel 5 miles/min"
"Dorothy Gish","1898-3-11"," silent film Actress (Orphans of the Storm)"
"Dorothy Schiff","1903-3-11"," (NY Post)"
"Lawrence Welk","1903-3-11"," conductor (champagne bubbles)"
"Ralph Ellison","1914-3-11"," Shadow & Act)"
"Sir Harold Wilson","1916-3-11"," 1974-76)"
"Ralph Abernathy","1926-3-11"," civil rights leader"
"Rupert Murdoch","1931-3-11"," Australia"
"George Stamatoyannopoulos","1934-3-11"," geneticist"
"Sam Donaldson","1934-3-11"," ABC correspondent"
"Tina Louise","1934-3-11"," professor & Mary Ann"
"Antonin Scalia","1936-3-11"," Supreme Court Justice"
"George Berkeley","1685-3-12"," Irish philosopher & Bishop of Cloyne"
"Jane Means Appleton Pierce","1806-3-12"," 1st lady"
"Sir John Abbott","1821-3-12"," (C) 3rd Canadian PM (1891-92)"
"Clement Studebakerk","1831-3-12"," automobile pioneer"
"Charles Boycottk","1832-3-12"," caused boycotts"
"Gordon MacRaek","1921-3-12"," singer"
"Jack Kerouack","1922-3-12"," On the Road)"
"Lane Kirklandk","1922-3-12"," AFL-CIO head"
"Wally M. Schirra","1923-3-12"," Apollo 7)"
"Rep Wil G Whitehurst","1925-3-12"," R-Va"
"George R Ariyoshi","1926-3-12"," Hawaii Gov"
"Mstislav Rostropovich","1927-3-12"," conductor"
"Raul Alfonsin","1927-3-12"," Presidnet of Argentina"
"Edward Albee","1928-3-12"," playwright"
"Andrew Young","1932-3-12"," Atlanta mayor"
"Lloyd Dobyns","1936-3-12"," NBC newsman"
"Millie Perkins","1940-3-12","Millie Perkins"
"Barbara Feldon","1941-3-12"," Pitts Pa (Agent 99-Get Smart)"
"Bert Campaneris","1942-3-12"," baseball player"
"Liza Minnelli","1946-3-12"," LA"
"Jill O'Hara","1947-3-12"," Warren Penn"
"James Taylor","1948-3-12"," singer"
"Sara Lane","1949-3-12"," NYC"
"Darryl Strawberry","1962-3-12"," NY Met"
"Joseph Priestly","1733-3-13"," discovered oxygen"
"Charles","1764-3-13"," British PM (1830-34)"
"Daniel Lambert","1770-3-13"," English giant (weighed 334 kg at death)"
"Johann Wyss","1781-3-13"," Author"
"Abigail Powers Fillmore","1798-3-13"," 1st lady"
"Percival Lowell","1855-3-13"," predicted discovery of Pluto"
"L. Ron Hubbard","1911-3-13"," scientologist"
"William J. Casey","1913-3-13"," headed CIA during Iran-contra scandal"
"Sammy Kaye","1914-3-13"," Bandleader"
"George McAfee","1918-3-13"," NFL halfback (Chicago Bears)"
"Ra£l Alfons¡n","1926-3-13"," )"
"Rosalind Elias","1931-3-13"," Opera singer"
"Neil Sedaka","1939-3-13"," Bkln"
"Steve Kanaly","1946-3-13","Steve Kanaly"
"Deborah Raffin","1953-3-13"," LA"
"Georg Philipp Telemann","1681-3-14"," German late baroque composer"
"Johann Strauss","1804-3-14"," composer"
"Jens Worsaae","1821-3-14"," archeologist"
"Lucy Hobbs Taylor","1833-3-14"," 1st American woman dentist"
"Giovanni Schiaparelli","1835-3-14"," discovered Martian canals"
"Thomas Riley Marshall","1854-3-14"," 28th VP (1913-21)"
"Casey Jones","1864-3-14"," RR engineer"
"Albert Einstein","1879-3-14"," Germany"
"Les Brown","1912-3-14"," Bandleader"
"Max Shulman","1919-3-14"," novelist"
"Cartoonist Hank Ketcham","1920-3-14"," (Dennis the Menace)"
"Colin Fletcher","1922-3-14","Colin Fletcher"
"Frank Borman","1928-3-14"," Eastern Airline pres"
"Michael Caine","1933-3-14"," Engl Actor (Blame it on Rio)"
"Quincy Jones","1933-3-14"," singer (We are the World)"
"Eugene A. Cernan","1934-3-14"," 17)"
"Rita Tushingham","1942-3-14"," Liverpool"
"Billy Crystal","1947-3-14"," comedian (SNL)"
"Prince Albert","1958-3-14"," Monaco"
"Nicolas Louis de Lacaille","1713-3-15","Nicolas Louis de Lacaille"
"Andrew Jackson","1767-3-15"," 7th pres (1928-37)"
"William Lamb","1779-3-15"," 1835-41)"
"Paul von Heysek","1830-3-15"," German writer (Nobel 1910)"
"Harry Jamesk","1916-3-15"," trumpeter"
"Norm Van Brocklink","1926-3-15"," coach (LA Rams)"
"Alan Lavern Beank","1932-3-15"," Skylab 3)"
"Judd Hirsch","1935-3-15"," Actor (Alex Reiger-Taxi)"
"George Clymer","1739-3-16"," Constitution"
"Caroline Lucretia Herchel","1750-3-16"," Germany"
"James Madison","1751-3-16"," 4th pres (1809-17)"
"Georg Simon Ohm","1787-3-16"," discovered Ohm's Law"
"Andrew S Hallidie","1836-3-16"," cable car inventor"
"Sully Prudhomme","1839-3-16"," 1st Nobel winner (1901)"
"Mike Mansfield","1903-3-16"," Sen majority whip"
"Henny Youngman","1906-3-16"," comedian"
"Pat Nixon","1912-3-16"," Ely Nev"
"Lloyd McBride","1916-3-16"," United Steelworkers pres"
"Jerry Lewis","1926-3-16"," loved in France"
"Daniel Patrick Moynihan","1927-3-16"," NY sen"
"Vladimir Komarov","1927-3-16"," Soyuz 1)"
"R Walter Cunningham","1932-3-16"," astronaut (Apollo 7)"
"Erik Estrada","1949-3-16"," Actor (CHiPs)"
"Kate Nelligan","1951-3-16"," London Ontario"
"Nancy Wilson","1954-3-16"," rocker (Heart)"
"Edmund Kean","1789-3-17"," tragic Actor"
"James Bridger","1804-3-17"," fur trader"
"Gottlieb Daimler","1834-3-17"," auto pioneer"
"Margaret Bondfield","1873-3-17"," 1st woman cabinet member"
"Bobby Jones","1902-3-17"," 1st pro golfer to win 4 grand slams"
"Bayard Rustin","1910-3-17"," civil rights leader"
"Sammy Baugh","1914-3-17"," NFL QB (Wash Redskins)"
"Mercedes McCambridge","1918-3-17"," Actress"
"Nat King Cole","1919-3-17"," singer"
"James B. Irwin","1930-3-17"," astronaut (Apollo 15)"
"Thomas K. Mattingly","1936-3-17"," 51C)"
"Rudolf Nureyev","1938-3-17"," Russia"
"Paul Kantner","1942-3-17"," (Jefferson Starship)"
"John Sebastian","1944-3-17"," American composer"
"Robert Braunwart","1948-3-17"," added dates to TODAY"
"Patrick Duffy","1949-3-17"," (Dallas)"
"Kurt Russell","1951-3-17"," Actor"
"Leslie-Anne Down","1954-3-17"," London"
"John C Calhoun","1782-3-18"," statesman"
"Grover Cleveland","1837-3-18"," 1893-1897)"
"Sir Randal Cremer","1838-3-18"," pacifist (Nobel 1903)"
"Stephane Mallarme","1842-3-18"," French poet"
"Nikolay Rimsky-Korsakov","1844-3-18"," Russian composer (Scheherazade)"
"Rudolf Diesel","1858-3-18"," engine inventor"
"Neville Chamberlain","1869-3-18"," British PM (1937-40)"
"Kurt Koffka","1886-3-18"," German Gestalt psychologist"
"Robert P Tristram Coffin","1892-3-18"," poet"
"Wilfred Owen","1893-3-18"," English anti-war poet (Anthem for Doomed Youth)"
"Mollie Parnis","1905-3-18"," fashion designer"
"Peter Graves","1926-3-18"," Actor (Mission Impossible)"
"George Plimpton","1927-3-18"," sports writer (Paper Lion)"
"John Kander","1927-3-18"," Composer"
"John Updike","1932-3-18"," poet & novelist (Rabbit Run)"
"Kevin Dobson","1933-3-18","Kevin Dobson"
"Charley Pride","1939-3-18"," country singer"
"Ingemar Stenmark","1956-3-18"," Swedish Alpine skiier"
"Irene Cara","1959-3-18"," NY (Fame)"
"Vanessa Williams","1963-3-18"," Millwood NY - 1st black Miss America"
"William Bradford","1589-3-19"," gov of Plymouth Colony (baptized)"
"David Livingstone","1813-3-19"," found by Stanley in Africa"
"Sir Richard Burton","1821-3-19"," translator (The Arabian Nights)"
"Roque S enz Pe¤a","1851-3-19"," pres of Argentina (1910-14)"
"William Jennings Bryan","1860-3-19"," orator-statesman"
"Earl Warren","1891-3-19"," Supreme Court chief justice"
"John J Sirica","1904-3-19"," Watergate Judge"
"Patricia Morison","1914-3-19"," (Peyton Place)"
"Irving Wallace","1916-3-19"," Author (People's Almanac)"
"Patrick McGoohan","1928-3-19"," Prisoner)"
"Philip Roth","1933-3-19"," Portnoy's Complaint)"
"Phyllis Newman","1935-3-19"," Jersey City NJ"
"Ursula Andress","1938-3-19"," Switzerland"
"Lynda Bird Johnson Robb","1944-3-19"," LBJ's daughter"
"Glenn Close","1947-3-19"," Greenwich Conn"
"Bruce Willis","1955-3-19"," (Moonlighting)"
"Napoleon II","1811-3-20"," king of Rome"
"Henrik Ibsen","1828-3-20"," Norway"
"Frederick Winslow Taylor","1856-3-20"," father of scientific management"
"B.F. Skinner","1904-3-20"," Behaviorist"
"Abraham Beame","1906-3-20"," NYC mayor"
"Frank Stanton","1908-3-20"," broadcasting exec"
"Sir Michael Redgrave","1908-3-20"," The Lady Vanishes)"
"Sviatosiav Richter","1914-3-20"," pianist"
"Carl Reiner","1922-3-20"," comedian"
"Jack Kruschen","1922-3-20","Jack Kruschen"
"Ray Goulding","1922-3-20"," comedian (Bob & Ray)"
"John Ehrlichman","1925-3-20"," Watergate conspirator"
"Fred Rogers","1928-3-20"," lovely day in the neighborhood"
"Hal Linden","1931-3-20"," Actor (Barney Miller)"
"Ted Bessell","1936-3-20"," (That Girl)"
"Jerry Reed","1937-3-20"," Singer"
"Brian Mulroney","1939-3-20"," )"
"Bobby Orr","1948-3-20"," hockey hall-of-famer (Boston Bruins)"
