"Gustave Dore","1823-1-6"," illustrator (Inferno and Rime of Ancient Mariner)"
"Max Bruch","1838-1-6"," German composer"
"Clarence King","1842-1-6"," geologist and mining engineer"
"Sherlock Holmes","1854-1-6"," according to Arthur Conan Doyle"
"Aleksandr Scriabin","1871-1-6"," Russian composer"
"Carl Sandburg","1878-1-6"," poet and biographer of Lincoln (The People and Yes)"
"Tom Mix","1880-1-6"," silent screen cowboy Actor (Dick Turpin)"
"Samuel Rayburn (D)","1882-1-6"," speaker of House (1940-57)"
"Khalil Gibran","1883-1-6"," Lebanese mystic poet (The Prophet and Broken Wings)"
"Joey Adams","1911-1-6"," comedian"
"Loretta Young","1913-1-6"," (Farmer's Daughter and Stranger) in Salt Lake City"
"Danny Thomas","1914-1-6"," comedian and Actor"
"Don Edwards (D)","1915-1-6"," US representative from California"
"Sun Myung Moon","1920-1-6"," evangelist (Unification Church)"
"Earl Scruggs","1924-1-6"," bluegrass musician"
"Sylvia Sims","1934-1-6","Sylvia Sims"
"Bonnie Franklin","1945-1-6"," TV Actress (One Day at a Time) in Santa Monica"
"Nancy Lopez","1957-1-6"," Golf pro"
"Millard Fillmore","1800-1-7"," (Whig) 13th US pres (1850-53)"
"Louis III","1845-1-7"," last king of Bavaria (1913-18)"
"Butterfly McQueen","1911-1-7"," Actress (Gone with the Wind)"
"Gerald Durrell","1925-1-7"," British zoologist and writer and broadcaster"
"Valeri N. Kubasov","1935-1-7"," Soviet cosmonaut (Soyuz 6 and 36 and Apollo-Soyuz)"
"Vasili Alexeyev","1942-1-7"," world champion weight-lifter"
"Kenny Loggins","1948-1-7"," singer"
"Johannes Fabricius","1587-1-8"," Dutch astronomer who discovered sunspots"
"Nicholas Biddle","1786-1-8"," made 2nd Bank of US 1st effective central bank"
"Alfred Russel Wallace","1823-1-8"," codiscoverer of evolution"
"Frank Nelson Doubleday","1862-1-8"," publisher & founder of Doubleday & Co"
"William Wilkie Collins","1864-1-8"," English novelist (The Moonstone)"
"Emily Balch","1867-1-8"," US sociologist and feminist and pacifist (Nobel 1946)"
"Sir Frank Dyson","1868-1-8"," proved Einstein right about light bent by gravity"
"Walther Bothe","1891-1-8"," German subatomic particle physicist (Nobel 1954)"
"Carl R. Rogers","1902-1-8"," psychologist"
"Peter Arno","1904-1-8"," Cartoonist"
"Jose Ferrer","1912-1-8"," Actor and director (Cyrano de Bergerac)"
"Joseph Wiezenbaum","1923-1-8"," artificial intelligence pioneer"
"Milton Hines","1926-1-8"," AKA Soupy Sales"
"Jacques Anquetil","1934-1-8"," 5-time winner of Tour de France bicycle race"
"Elvis Presley","1935-1-8"," singer (Blue Suede Shoes and Hounddog)"
"Shirley Bassey","1937-1-8"," in Wales"
"Vyacheslav D. Zudov","1942-1-8"," Soviet cosmonaut (Soyuz 23)"
"Yvette Mimieux","1942-1-8"," in Hollywood Cal (Time Machine and Where the Boys Are)"
"Tod Brannan","1946-1-8","Tod Brannan"
